time,Cyclone_Inlet_Gas_Temp,Cyclone_Material_Temp,Cyclone_Outlet_Gas_draft,Cyclone_cone_draft,Cyclone_Gas_Outlet_Temp,Cyclone_Inlet_Draft
2018-08-17 10:00:00,880.3033333333333,910.6991666666667,-280.75833333333327,-261.4825,823.3091666666666,-220.5
2018-08-17 11:00:00,889.8066666666667,930.9709090909091,-290.40916666666664,-270.62333333333333,829.5816666666666,-230.6591666666667
2018-08-17 12:00:00,879.5224999999999,903.7333333333332,-276.6266666666667,-259.5166666666667,824.9983333333333,-218.11249999999998
2018-08-17 13:00:00,869.6808333333332,895.6591666666667,-258.51416666666654,-243.10583333333338,822.2866666666665,-200.68583333333333
2018-08-17 14:00:00,879.0033333333332,906.8733333333333,-259.0691666666667,-243.46250000000006,828.4233333333333,-200.5641666666667
2018-08-17 15:00:00,884.8108333333334,919.3266666666665,-257.23249999999996,-243.23583333333332,838.6766666666667,-198.18916666666667
2018-08-17 16:00:00,875.0975,916.4500000000002,-252.52499999999998,-240.10166666666666,862.8441666666668,-194.5391666666667
2018-08-17 17:00:00,899.1441666666666,954.3541666666666,-248.81083333333336,-235.87166666666664,882.6225000000001,-194.3558333333333
2018-08-17 18:00:00,897.9183333333332,952.9283333333333,-249.74583333333337,-239.70000000000005,881.5625,-195.9375
2018-08-17 19:00:00,879.5791666666668,934.5458333333332,-243.38666666666663,-233.5175,865.7058333333333,-191.94416666666663
2018-08-17 20:00:00,881.275,934.5241666666667,-251.78083333333333,-240.85749999999996,863.2883333333333,-198.18249999999998
2018-08-17 21:00:00,885.7666666666668,941.1324999999998,-245.16333333333333,-233.03416666666666,850.5916666666666,-190.87166666666664
2018-08-17 22:00:00,875.14,915.9125,-250.13249999999996,-236.95083333333335,840.6633333333334,-196.34416666666667
2018-08-17 23:00:00,873.0566666666667,917.2983333333333,-243.5775,-230.30250000000004,835.5075,-192.17500000000004
2018-08-18 00:00:00,864.3658333333333,900.7933333333334,-245.48166666666665,-233.93916666666667,832.1999999999999,-194.20916666666665
2018-08-18 01:00:00,904.4991666666666,952.2663636363636,-242.11249999999998,-233.25750000000002,877.4399999999999,-189.48583333333332
2018-08-18 02:00:00,903.465,953.7174999999999,-246.12749999999997,-238.1475,873.94,-193.56083333333333
2018-08-18 03:00:00,889.0316666666666,942.5216666666666,-235.34500000000003,-226.09333333333333,864.2225,-185.2108333333333
2018-08-18 04:00:00,886.0875000000001,935.4700000000001,-241.4275,-235.00749999999996,859.98,-189.55583333333334
2018-08-18 05:00:00,895.5949999999999,953.0641666666666,-238.11666666666667,-232.8225,870.1341666666667,-186.37749999999997
2018-08-18 06:00:00,884.6383333333333,936.3616666666668,-238.9291666666667,-231.81416666666664,865.2358333333335,-186.20333333333338
2018-08-18 07:00:00,930.0783333333334,964.1483333333332,-235.30083333333332,-227.45916666666665,897.0533333333333,-183.77750000000003
2018-08-18 08:00:00,889.3499999999999,939.6441666666665,-239.55999999999997,-233.02416666666667,868.3575,-187.40499999999997
2018-08-18 09:00:00,918.9841666666667,971.0283333333332,-244.03333333333333,-236.47500000000002,884.7925000000001,-190.42333333333332
2018-08-18 10:00:00,924.4283333333333,969.5683333333332,-242.35583333333332,-233.78250000000003,888.0416666666666,-189.03083333333336
2018-08-18 11:00:00,920.1025,971.2116666666667,-235.15000000000006,-226.91666666666663,883.3391666666666,-182.93916666666667
2018-08-18 12:00:00,910.1191666666665,962.6783333333333,-219.48000000000002,-209.78999999999996,874.895,-173.09
2018-08-18 13:00:00,902.4941666666667,964.6766666666666,-218.46333333333337,-203.79583333333332,866.2416666666667,-171.47833333333332
2018-08-18 14:00:00,913.7941666666667,973.8591666666667,-222.38083333333336,-209.2075,878.3325,-174.30666666666662
2018-08-18 15:00:00,888.5825,949.1925,-229.52750000000003,-215.8083333333333,857.0808333333333,-179.1091666666667
2018-08-18 16:00:00,885.8933333333334,916.3081818181819,-242.19583333333335,-228.785,850.9508333333333,-189.66333333333333
2018-08-18 17:00:00,902.8116666666668,940.3375,-238.87666666666667,-225.0925,872.6458333333335,-185.36666666666667
2018-08-18 18:00:00,879.3316666666666,924.8866666666668,-237.75666666666666,-231.47833333333335,856.7800000000001,-187.0191666666667
2018-08-18 19:00:00,893.645,949.17,-247.0391666666667,-239.83583333333334,867.5758333333333,-194.33083333333332
2018-08-18 20:00:00,899.9775,966.1574999999999,-255.31833333333336,-246.92916666666665,873.1899999999999,-201.37333333333333
2018-08-18 21:00:00,889.625,954.41,-245.01333333333335,-239.45166666666668,864.3716666666668,-193.59833333333336
2018-08-18 22:00:00,862.7783333333333,914.9308333333335,-247.20666666666668,-238.40416666666667,845.6316666666668,-194.93416666666667
2018-08-18 23:00:00,894.1708333333332,956.1450000000001,-258.4625,-249.96166666666662,862.625,-203.74750000000003
2018-08-19 00:00:00,895.3725,952.5783333333334,-259.4591666666667,-251.4375,862.7883333333335,-206.26166666666666
2018-08-19 01:00:00,881.38,934.0999999999999,-257.9433333333334,-251.62583333333336,856.1391666666667,-206.5541666666666
2018-08-19 02:00:00,890.2675,941.0033333333334,-256.1066666666667,-249.0008333333333,863.9749999999999,-205.365
2018-08-19 03:00:00,889.5174999999999,947.0049999999998,-262.1458333333333,-248.5475,869.2283333333331,-208.53333333333333
2018-08-19 04:00:00,866.4383333333334,906.5108333333333,-261.8341666666667,-244.78083333333328,852.48,-209.09416666666667
2018-08-19 05:00:00,874.5316666666666,917.6833333333333,-263.2133333333333,-250.37833333333333,857.5825,-210.26250000000005
2018-08-19 06:00:00,891.9391666666667,953.8766666666667,-261.6383333333333,-248.43250000000003,875.7825000000001,-208.16833333333338
2018-08-19 07:00:00,875.9266666666667,932.9033333333332,-263.615,-251.6341666666667,864.9200000000001,-210.24750000000003
2018-08-19 08:00:00,883.1033333333335,940.8933333333333,-267.23999999999995,-255.56500000000003,875.0616666666668,-212.93916666666667
2018-08-19 09:00:00,889.2158333333333,948.2941666666667,-264.595,-251.69166666666663,878.1833333333334,-211.51500000000001
2018-08-19 10:00:00,909.0883333333333,988.5999999999999,-260.4991666666667,-249.10333333333335,893.165,-207.71916666666664
2018-08-19 11:00:00,907.8616666666668,975.5858333333334,-259.97083333333336,-247.60666666666665,898.2916666666666,-206.9041666666667
2018-08-19 12:00:00,900.4700000000001,974.3158333333336,-262.80083333333334,-255.79083333333332,890.6191666666667,-210.71416666666664
2018-08-19 13:00:00,903.3091666666666,964.4999999999999,-263.97416666666663,-254.34249999999997,891.0475,-211.35583333333338
2018-08-19 14:00:00,903.5433333333334,957.2274999999998,-268.8825,-257.82166666666666,887.9808333333332,-216.51999999999998
2018-08-19 15:00:00,890.3591666666666,944.4266666666666,-253.58416666666668,-242.63833333333332,880.8616666666667,-202.07500000000002
2018-08-19 16:00:00,890.1758333333333,936.9741666666667,-245.65500000000006,-234.385,888.9425,-194.74333333333334
2018-08-19 17:00:00,885.5625,957.6116666666667,-241.5725,-228.97833333333335,887.6574999999999,-190.7466666666667
2018-08-19 18:00:00,878.1516666666668,943.8183333333335,-236.67583333333332,-224.645,880.9608333333332,-184.98166666666665
2018-08-19 19:00:00,878.705,939.0358333333334,-242.1075,-229.41000000000005,879.8041666666667,-191.3075
2018-08-19 20:00:00,889.0258333333335,949.6125000000001,-243.11166666666668,-229.01500000000001,888.7075000000001,-190.5858333333333
2018-08-19 21:00:00,891.6025000000001,943.3208333333333,-242.79083333333335,-222.52499999999998,888.1583333333334,-190.56333333333336
2018-08-19 22:00:00,896.2524999999999,955.4716666666667,-233.11916666666664,-209.79083333333335,893.5799999999999,-182.42
2018-08-19 23:00:00,896.6591666666665,954.0858333333332,-230.98750000000004,-204.985,894.0708333333333,-179.74249999999998
2018-08-20 00:00:00,902.2225,968.8266666666668,-232.2483333333333,-211.7266666666667,899.9008333333331,-180.52166666666668
2018-08-20 01:00:00,877.9816666666669,924.6883333333332,-237.2933333333333,-215.33,879.54,-186.62833333333333
2018-08-20 02:00:00,857.8466666666668,895.7691666666666,-241.645,-219.69416666666666,860.2383333333332,-191.31583333333336
2018-08-20 03:00:00,875.4316666666665,931.4350000000001,-243.2516666666667,-219.62416666666664,878.1716666666667,-190.76416666666668
2018-08-20 04:00:00,879.7624999999998,933.3466666666667,-240.44083333333333,-222.47333333333336,886.7433333333333,-189.5391666666667
2018-08-20 05:00:00,883.9616666666667,946.5366666666665,-238.17416666666668,-222.58916666666667,888.7966666666667,-188.14999999999998
2018-08-20 06:00:00,893.7991666666667,958.4825000000001,-239.10416666666666,-223.19333333333336,897.0175,-188.355
2018-08-20 07:00:00,895.1833333333333,958.915,-240.40416666666667,-226.98583333333332,896.8583333333332,-190.18166666666664
2018-08-20 08:00:00,910.9708333333334,973.4783333333334,-230.09999999999994,-214.35416666666663,906.8825,-181.54833333333332
2018-08-20 09:00:00,884.4333333333334,936.3625000000001,-237.16750000000002,-225.5575,888.2950000000001,-187.58666666666667
2018-08-20 10:00:00,882.1291666666666,940.4050000000001,-231.585,-220.68416666666667,887.3516666666666,-182.94750000000002
2018-08-20 11:00:00,897.2458333333333,951.7016666666667,-222.1,-209.80583333333337,893.9241666666667,-175.58
2018-08-20 12:00:00,892.605,941.8024999999999,-223.38166666666666,-198.81833333333336,888.8025000000001,-177.70583333333335
2018-08-20 13:00:00,893.1875,951.3808333333335,-231.94916666666668,-203.8525,868.1916666666666,-186.06000000000003
2018-08-20 14:00:00,881.7283333333334,914.2366666666668,-218.8075,-158.61416666666665,851.0958333333334,-175.36750000000004
2018-08-20 15:00:00,913.3966666666669,957.4683333333332,-206.16583333333335,-128.51,890.5658333333332,-163.32250000000002
2018-08-20 16:00:00,910.4358333333333,945.0283333333333,-224.4375,-163.25249999999997,901.7491666666666,-177.3791666666667
2018-08-20 17:00:00,918.3283333333334,946.3658333333333,-184.5916666666667,-124.72333333333334,892.5741666666668,-147.57000000000002
2018-08-20 18:00:00,917.4141666666668,953.0183333333333,-194.9266666666667,-79.74,894.6783333333333,-156.32250000000002
2018-08-20 19:00:00,891.2866666666667,967.6250000000001,-251.04250000000002,-164.21833333333333,887.0166666666665,-198.75249999999997
2018-08-20 20:00:00,906.6133333333333,981.3941666666666,-260.9491666666667,-250.69333333333336,898.9875000000001,-205.5675
2018-08-20 21:00:00,892.8875000000002,968.995,-261.2383333333333,-243.49833333333336,893.3308333333334,-205.94583333333335
2018-08-20 22:00:00,901.4616666666666,980.8258333333333,-260.0158333333334,-239.2166666666667,905.4825000000001,-205.2741666666667
2018-08-20 23:00:00,871.9191666666667,940.5983333333335,-252.03083333333333,-234.1825,883.4458333333333,-199.7775
2018-08-21 00:00:00,893.0866666666667,964.1433333333334,-251.18416666666667,-232.23083333333338,903.5791666666665,-196.10666666666665
2018-08-21 01:00:00,870.8083333333334,941.3449999999999,-249.99333333333334,-232.17666666666665,886.3741666666666,-196.0725
2018-08-21 02:00:00,874.3016666666667,925.41,-252.1316666666667,-236.46833333333333,888.9866666666666,-199.16333333333333
2018-08-21 03:00:00,890.5899999999998,961.8908333333334,-265.81,-244.4625,905.9491666666667,-208.36
2018-08-21 04:00:00,868.93,924.3666666666668,-258.27916666666664,-242.69583333333333,883.7916666666666,-205.275
2018-08-21 05:00:00,878.3791666666666,625.2599999999999,-261.0458333333333,-244.42166666666665,891.1608333333334,-208.04250000000002
2018-08-21 06:00:00,882.755,0.0,-265.97833333333335,-249.15,894.2999999999998,-212.10416666666666
2018-08-21 07:00:00,908.7341666666666,60.781666666666666,-269.82,-253.58,896.8974999999999,-214.79
2018-08-21 08:00:00,892.8666666666668,852.8483333333334,-272.52500000000003,-259.7941666666666,885.8091666666666,-217.20416666666668
2018-08-21 09:00:00,908.0983333333334,991.3383333333333,-269.8875,-256.9591666666667,900.5124999999999,-214.625
2018-08-21 10:00:00,922.4691666666666,995.2216666666667,-253.77916666666667,-240.4441666666667,911.8966666666666,-203.08916666666664
2018-08-21 11:00:00,899.9958333333333,995.5216666666666,-255.29416666666668,-242.08749999999998,901.5658333333332,-204.7225
2018-08-21 12:00:00,833.7683333333334,930.6641666666666,-88.91583333333334,-96.32,835.955,-68.13250000000001
2018-08-21 13:00:00,908.8800000000001,945.3358333333334,-159.73166666666668,-158.20083333333335,885.515,-126.45499999999998
2018-08-21 14:00:00,884.4574999999999,925.5266666666666,-247.31666666666663,-234.155,870.3416666666666,-203.79916666666668
2018-08-21 15:00:00,891.0233333333334,969.6325,-255.87083333333337,-240.23250000000004,896.8933333333333,-206.59
2018-08-21 16:00:00,884.0433333333334,969.2549999999998,-266.42,-251.74416666666662,887.8650000000002,-217.0291666666667
2018-08-21 17:00:00,920.5,993.2166666666667,-261.86583333333334,-240.27166666666665,908.5275,-212.025
2018-08-21 18:00:00,909.6966666666667,990.6475,-262.0566666666666,-233.94916666666668,900.8358333333334,-210.97583333333333
2018-08-21 19:00:00,912.8066666666667,999.6266666666666,-257.44,-220.1391666666667,896.1700000000001,-208.23749999999998
2018-08-21 20:00:00,884.6225000000001,970.3683333333335,-258.9566666666667,-223.8083333333333,884.4266666666667,-209.07666666666663
2018-08-21 21:00:00,917.18,992.9350000000001,-240.26833333333335,-213.76500000000007,898.0825,-193.20333333333335
2018-08-21 22:00:00,896.4408333333332,972.6858333333333,-245.09333333333333,-219.45666666666662,881.1708333333335,-197.13833333333332
2018-08-21 23:00:00,897.8391666666666,964.7824999999999,-214.455,-192.16916666666665,876.0808333333333,-170.765
2018-08-22 00:00:00,896.5675,971.8308333333333,-226.47416666666666,-200.5375,863.8375000000001,-179.7258333333333
2018-08-22 01:00:00,910.8549999999999,990.5358333333332,-221.44500000000002,-194.9716666666667,870.1141666666667,-174.75166666666667
2018-08-22 02:00:00,873.1658333333334,948.5408333333334,-238.08416666666668,-208.8058333333333,852.5633333333335,-189.19250000000002
2018-08-22 03:00:00,888.6491666666666,977.5525000000001,-245.46,-217.54000000000005,855.7649999999999,-194.84583333333333
2018-08-22 04:00:00,897.9916666666667,994.0416666666666,-240.06583333333333,-212.66750000000002,861.3283333333334,-190.1391666666667
2018-08-22 05:00:00,908.3283333333334,1004.4258333333332,-239.83416666666668,-212.44083333333333,865.0424999999999,-188.74
2018-08-22 06:00:00,901.61,988.1141666666667,-237.08333333333337,-215.4283333333333,857.15,-187.43000000000004
2018-08-22 07:00:00,893.5849999999999,961.2841666666667,-258.52250000000004,-236.20166666666663,870.2400000000001,-206.915
2018-08-22 08:00:00,865.3249999999999,955.4516666666667,-255.27166666666668,-237.385,857.2683333333333,-204.12916666666663
2018-08-22 09:00:00,904.7391666666668,998.1991666666667,-247.01416666666668,-232.10500000000002,872.5366666666665,-195.70916666666665
2018-08-22 10:00:00,894.1591666666667,975.7116666666667,-238.57000000000002,-222.7641666666667,864.7950000000001,-192.23499999999999
2018-08-22 11:00:00,896.6491666666667,985.6749999999998,-259.56749999999994,-239.4083333333333,871.8641666666666,-205.62
2018-08-22 12:00:00,882.0775,973.5975,-261.7058333333333,-244.75250000000003,867.0358333333334,-204.16583333333332
2018-08-22 13:00:00,912.3591666666666,1015.8016666666666,-270.0116666666667,-253.78,886.8958333333335,-209.22416666666663
2018-08-22 14:00:00,871.2758333333333,954.0708333333333,-257.0241666666667,-240.85333333333332,862.4333333333333,-200.58749999999995
2018-08-22 15:00:00,884.0766666666667,974.3166666666666,-259.7658333333333,-244.21833333333336,857.6116666666667,-204.51916666666668
2018-08-22 16:00:00,876.1458333333334,976.235,-258.4125,-245.79583333333335,875.5724999999999,-207.3066666666667
2018-08-22 17:00:00,908.8108333333333,1007.8624999999998,-259.7866666666667,-248.94083333333333,902.9191666666667,-208.83416666666665
2018-08-22 18:00:00,795.7608333333334,861.8583333333332,-61.6225,-70.985,797.1008333333334,-46.49416666666667
2018-08-22 19:00:00,909.02,948.8033333333333,-121.36666666666667,-118.98500000000001,858.3516666666668,-97.96249999999999
2018-08-22 20:00:00,908.7541666666666,976.9925,-226.77250000000004,-200.2591666666667,889.7016666666667,-179.7566666666667
2018-08-22 21:00:00,911.8441666666664,995.8191666666665,-245.82416666666668,-223.16333333333333,893.6675000000001,-194.21000000000004
2018-08-22 22:00:00,911.2008333333333,1006.7583333333336,-266.3766666666666,-238.21166666666667,900.3425000000001,-209.725
2018-08-22 23:00:00,877.9816666666667,964.7658333333334,-275.6383333333333,-246.85833333333326,873.3466666666667,-217.09916666666663
2018-08-23 00:00:00,915.8791666666666,1002.0991666666669,-289.07,-267.62583333333333,902.6166666666667,-227.02666666666664
2018-08-23 01:00:00,916.2425,939.9024999999998,-292.08583333333337,-266.70000000000005,901.4591666666666,-230.80333333333328
2018-08-23 02:00:00,905.3366666666667,956.4066666666668,-233.4175,-228.2733333333333,879.5341666666667,-194.58166666666668
2018-08-23 03:00:00,896.4775,959.81,-267.64250000000004,-246.40416666666667,883.0858333333331,-216.245
2018-08-23 04:00:00,904.0008333333332,1002.7666666666665,-283.04249999999996,-261.0308333333333,896.7516666666667,-226.05083333333332
2018-08-23 05:00:00,917.1358333333333,1008.3016666666666,-278.8016666666667,-259.2008333333333,901.125,-222.54833333333337
2018-08-23 06:00:00,901.1700000000001,999.1258333333334,-276.12416666666667,-251.32416666666668,892.1191666666667,-217.76250000000002
2018-08-23 07:00:00,863.4833333333335,946.5450000000002,-270.72,-247.65583333333336,857.5283333333333,-217.16749999999993
2018-08-23 08:00:00,885.9266666666667,969.5949999999999,-280.91833333333335,-254.03166666666664,877.6574999999999,-225.08166666666668
